Event_Group_ID,Event_ID,Data_ID,Park_Code,Route,Start_Date,Year,Group_Index,Route Section,Route_Length,DistanceToDeer,Angle,DistanceFromRoad,Bucks,Doe,Fawn,Unknown,Total_Group,Import_Event_ID,Mileage,Time,Date_Time_Entered,Verified,Wind Speed,Sky,Moon_Phase,Temperature,Event_Notes
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{D0D75157-EB8B-4C5D-8524-3551487DEA3F},CATO,CATO,10/21/01,2001,31,Park Central,7.564,37,90,37,0,0,0,1,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{6A74EC19-4A09-4486-A70D-4BA062E122D6},CATO,CATO,10/21/01,2001,32,Park Central,7.564,49,90,49,0,1,0,1,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{27CD4C9B-6F89-4B91-8A18-5CFEC4BEB496},{045519ED-2F2C-4E16-AF5C-4DDFE842E90D},CATO,CATO,10/21/01,2001,33,Manahan,3.058,46,90,46,0,0,0,1,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{27CD4C9B-6F89-4B91-8A18-5CFEC4BEB496},{0DE6EF84-209A-4B50-83A1-07850AF82812},CATO,CATO,10/21/01,2001,34,Manahan,3.058,50,90,50,0,1,0,4,5,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{27CD4C9B-6F89-4B91-8A18-5CFEC4BEB496},{3931518F-8965-47D6-B017-21EA999E3AC0},CATO,CATO,10/21/01,2001,35,Manahan,3.058,28,90,28,0,0,0,1,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{27CD4C9B-6F89-4B91-8A18-5CFEC4BEB496},{409A1F8E-25A0-40EB-89CF-48519FC9D552},CATO,CATO,10/21/01,2001,36,Manahan,3.058,33,90,33,0,0,0,4,4,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{27CD4C9B-6F89-4B91-8A18-5CFEC4BEB496},{58C31261-B13D-4F82-B5A6-B715343672FF},CATO,CATO,10/21/01,2001,37,Manahan,3.058,23,90,23,0,1,0,2,3,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{27CD4C9B-6F89-4B91-8A18-5CFEC4BEB496},{5E140352-7E9E-4702-9D2B-CCFB8086CA3D},CATO,CATO,10/21/01,2001,38,Manahan,3.058,39,90,39,0,2,0,0,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{27CD4C9B-6F89-4B91-8A18-5CFEC4BEB496},{6E9672BD-B42E-417A-A27F-9892EC56EC74},CATO,CATO,10/21/01,2001,39,Manahan,3.058,21,90,21,0,1,0,0,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{0754DE29-55CB-43AB-A5C8-6B01A76F26E6},{3B9050D5-8D42-46F0-8FCA-DEABEAE40757},CATO,CATO,10/21/01,2001,40,Round Meadow,0,0,90,0,0,0,0,0,0,,,,12/10/09,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{27CD4C9B-6F89-4B91-8A18-5CFEC4BEB496},{A1B486F9-40C8-4C3E-968D-B1A1060CDA5C},CATO,CATO,10/21/01,2001,41,Manahan,3.058,8,90,8,0,0,1,0,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{27CD4C9B-6F89-4B91-8A18-5CFEC4BEB496},{AD550224-F2CC-457A-B58C-F3E511F94668},CATO,CATO,10/21/01,2001,42,Manahan,3.058,23,90,23,0,0,0,1,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{27CD4C9B-6F89-4B91-8A18-5CFEC4BEB496},{BF5D60F5-3753-4494-BB65-7CEC9C2022D8},CATO,CATO,10/21/01,2001,43,Manahan,3.058,16,90,16,0,1,1,0,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{27CD4C9B-6F89-4B91-8A18-5CFEC4BEB496},{C26946C9-7E19-42E9-888D-B1B833EB23CE},CATO,CATO,10/21/01,2001,44,Manahan,3.058,12,90,12,0,2,0,0,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{4BCB8090-B9E7-40F5-AFD5-B147DB3F7C43},CATO,CATO,10/21/01,2001,45,Park Central,7.564,38,90,38,0,0,0,1,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{4F23E821-8E70-40BC-AC7F-43E15CF5913D},CATO,CATO,10/21/01,2001,46,Park Central,7.564,58,90,58,0,0,0,4,4,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{27CD4C9B-6F89-4B91-8A18-5CFEC4BEB496},{5F184005-962D-47E1-8279-61C50CF74A1E},CATO,CATO,10/21/01,2001,47,Manahan,3.058,36,90,36,0,2,0,1,3,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{4E2A69E2-C6B0-4CAF-8548-F0D97B622A94},CATO,CATO,10/21/01,2001,48,Park Central,7.564,58,90,58,0,0,0,1,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{4A57E99C-E5BE-4C13-BC7D-49960BD582FC},CATO,CATO,10/21/01,2001,49,Park Central,7.564,71,90,71,0,0,0,1,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{48D3A0F5-AB4E-4364-BD7F-A6967DC63C23},CATO,CATO,10/21/01,2001,50,Park Central,7.564,58,90,58,0,0,3,0,3,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{2B143683-D9D3-4947-853E-A6149A187E05},CATO,CATO,10/21/01,2001,51,Park Central,7.564,29,90,29,0,1,0,0,1,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{2A438FEB-9977-4B4A-AB03-BC9149D13A92},CATO,CATO,10/21/01,2001,52,Park Central,7.564,23,90,23,0,3,0,2,5,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{23FC06B3-0E85-4D9C-92BF-15C886D72A3C},CATO,CATO,10/21/01,2001,53,Park Central,7.564,53,90,53,0,2,0,2,4,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{1A7C5F97-FB0A-4226-8EEE-04F2C345687E},CATO,CATO,10/21/01,2001,54,Park Central,7.564,35,90,35,0,1,2,0,3,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{0D417681-6637-4B59-B5A3-A4EBE332B58F},CATO,CATO,10/21/01,2001,55,Park Central,7.564,75,90,75,0,0,0,2,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{0A56CFEB-1F1A-48C6-933B-ABFBA46ECA10},CATO,CATO,10/21/01,2001,56,Park Central,7.564,37,90,37,0,1,1,0,2,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{087FD95A-76E2-488C-8AB9-CE6E1963A1C6},CATO,CATO,10/21/01,2001,57,Park Central,7.564,40,90,40,0,0,0,3,3,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{569EA589-2BB3-47D5-B473-8B94FA1E1A26},{069853FC-58C1-4815-A74C-6D262FB38F6F},CATO,CATO,10/21/01,2001,58,Park Central,7.564,47,90,47,0,1,0,2,3,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{16191712-2EBE-47F2-AB58-0E22851C3891},{27CD4C9B-6F89-4B91-8A18-5CFEC4BEB496},{C2DC5146-D80D-41DE-A28A-093F7ADC1EB3},CATO,CATO,10/21/01,2001,59,Manahan,3.058,39,90,39,0,0,0,3,3,,,,,TRUE,,Cloudy/Overcast,First Quarter,65
{BB48F395-559B-41C2-97F0-8B27D572AE17},{1F6ED4E5-7087-434A-BD93-A239DC4A2CB3},{B604BB14-19B3-442F-8FB1-171BD5AA0200},CATO,CATO,10/22/01,2001,60,Park Central,7.564,86,90,86,0,0,0,1,1,,,,,TRUE,,Partly Cloudy,Half Moon,71
