Event_Group_ID,Event_ID,Data_ID,Park_Code,Route,Start_Date,Year,Group_Index,Route Section,Route_Length,DistanceToDeer,Angle,DistanceFromRoad,Bucks,Doe,Fawn,Unknown,Total_Group,Import_Event_ID,Mileage,Time,Date_Time_Entered,Verified,Wind Speed,Sky,Moon_Phase,Temperature,Event_Notes
{57FD3D1C-B3CE-4C6F-8C3A-8BFF0180C986},{E8CBFDF4-6999-4E09-BF0F-A983D3C44ED9},{81610214-D0E8-4461-A603-4928AF7B9373},NACE,GREE,11/5/01,2001,1,GREE,5.18,60,90,60,1,1,0,0,2,,,,,TRUE,,,Full Moon,56,
{57FD3D1C-B3CE-4C6F-8C3A-8BFF0180C986},{E8CBFDF4-6999-4E09-BF0F-A983D3C44ED9},{055FBF94-F781-4020-87FB-07AF105EEE84},NACE,GREE,11/5/01,2001,2,GREE,5.18,54,90,54,0,2,0,0,2,,,,,TRUE,,,Full Moon,56,
{57FD3D1C-B3CE-4C6F-8C3A-8BFF0180C986},{E8CBFDF4-6999-4E09-BF0F-A983D3C44ED9},{6BFCF05E-74C8-49D2-B78A-01CFD6CD618E},NACE,GREE,11/5/01,2001,3,GREE,5.18,86,90,86,0,1,0,0,1,,,,,TRUE,,,Full Moon,56,
{57FD3D1C-B3CE-4C6F-8C3A-8BFF0180C986},{E8CBFDF4-6999-4E09-BF0F-A983D3C44ED9},{7FE44DF8-0270-46B1-893A-149376509595},NACE,GREE,11/5/01,2001,4,GREE,5.18,53,90,53,0,1,2,0,3,,,,,TRUE,,,Full Moon,56,
{57FD3D1C-B3CE-4C6F-8C3A-8BFF0180C986},{E8CBFDF4-6999-4E09-BF0F-A983D3C44ED9},{32286005-40F7-4C05-84FF-825178CE5522},NACE,GREE,11/5/01,2001,5,GREE,5.18,2,90,2,0,1,0,0,1,,,,,TRUE,,,Full Moon,56,
{57FD3D1C-B3CE-4C6F-8C3A-8BFF0180C986},{E8CBFDF4-6999-4E09-BF0F-A983D3C44ED9},{99278517-183F-4764-B18A-1643594B708C},NACE,GREE,11/5/01,2001,6,GREE,5.18,32,90,32,1,3,0,0,4,,,,,TRUE,,,Full Moon,56,
{57FD3D1C-B3CE-4C6F-8C3A-8BFF0180C986},{E8CBFDF4-6999-4E09-BF0F-A983D3C44ED9},{9DFB98D2-4E3A-44EE-8379-28AE395D94C9},NACE,GREE,11/5/01,2001,7,GREE,5.18,84,90,84,1,0,0,0,1,,,,,TRUE,,,Full Moon,56,
{57FD3D1C-B3CE-4C6F-8C3A-8BFF0180C986},{E8CBFDF4-6999-4E09-BF0F-A983D3C44ED9},{AF07FDCC-B7C9-42C8-8632-F199942518C6},NACE,GREE,11/5/01,2001,8,GREE,5.18,52,90,52,0,2,0,0,2,,,,,TRUE,,,Full Moon,56,
{57FD3D1C-B3CE-4C6F-8C3A-8BFF0180C986},{E8CBFDF4-6999-4E09-BF0F-A983D3C44ED9},{BF3883C7-D743-48A2-9E73-C49A5740B228},NACE,GREE,11/5/01,2001,9,GREE,5.18,33,90,33,0,3,0,0,3,,,,,TRUE,,,Full Moon,56,
{57FD3D1C-B3CE-4C6F-8C3A-8BFF0180C986},{E8CBFDF4-6999-4E09-BF0F-A983D3C44ED9},{C3666745-01BD-4F49-9A52-08AB321EF1D7},NACE,GREE,11/5/01,2001,10,GREE,5.18,36,90,36,0,0,0,1,1,,,,,TRUE,,,Full Moon,56,
{57FD3D1C-B3CE-4C6F-8C3A-8BFF0180C986},{E8CBFDF4-6999-4E09-BF0F-A983D3C44ED9},{E0AC1592-EC06-4D84-8D4E-2D934E831C9C},NACE,GREE,11/5/01,2001,11,GREE,5.18,66,90,66,1,3,0,0,4,,,,,TRUE,,,Full Moon,56,
{57FD3D1C-B3CE-4C6F-8C3A-8BFF0180C986},{E8CBFDF4-6999-4E09-BF0F-A983D3C44ED9},{11C06E45-871B-46E1-8E47-75C6AD38DE4F},NACE,GREE,11/5/01,2001,12,GREE,5.18,49,90,49,0,0,0,1,1,,,,,TRUE,,,Full Moon,56,
{57FD3D1C-B3CE-4C6F-8C3A-8BFF0180C986},{E8CBFDF4-6999-4E09-BF0F-A983D3C44ED9},{6C3CAC10-0E72-4ECB-BBC3-B219BE7C1BC9},NACE,GREE,11/5/01,2001,13,GREE,5.18,32,90,32,1,0,0,0,1,,,,,TRUE,,,Full Moon,56,
{215B0C08-52A2-43B9-A770-EFC6492843EB},{2C5FD09B-AD43-4B83-9B3D-EEC68C70C8D5},{8D54AA48-40FF-4D77-B553-9118DDD8BE2B},NACE,GREE,11/6/01,2001,14,GREE,5.18,58,90,58,0,1,0,0,1,,,,,TRUE,,,Full Moon,60,
{215B0C08-52A2-43B9-A770-EFC6492843EB},{2C5FD09B-AD43-4B83-9B3D-EEC68C70C8D5},{497756D3-4A84-4F22-A72C-1B2F49BCDEF3},NACE,GREE,11/6/01,2001,15,GREE,5.18,64,90,64,0,1,0,0,1,,,,,TRUE,,,Full Moon,60,
{215B0C08-52A2-43B9-A770-EFC6492843EB},{2C5FD09B-AD43-4B83-9B3D-EEC68C70C8D5},{5BA8D872-26BB-4E29-8DE4-B0D9B5579310},NACE,GREE,11/6/01,2001,16,GREE,5.18,34,90,34,0,2,1,0,3,,,,,TRUE,,,Full Moon,60
{215B0C08-52A2-43B9-A770-EFC6492843EB},{2C5FD09B-AD43-4B83-9B3D-EEC68C70C8D5},{72858DEA-A614-4287-8992-061E5F6AE2C1},NACE,GREE,11/6/01,2001,17,GREE,5.18,86,90,86,0,2,1,0,3,,,,,TRUE,,,Full Moon,60
{215B0C08-52A2-43B9-A770-EFC6492843EB},{2C5FD09B-AD43-4B83-9B3D-EEC68C70C8D5},{7A204938-D0F3-4093-AD79-4D6D534D5FE6},NACE,GREE,11/6/01,2001,18,GREE,5.18,34,90,34,0,4,0,0,4,,,,,TRUE,,,Full Moon,60
{215B0C08-52A2-43B9-A770-EFC6492843EB},{2C5FD09B-AD43-4B83-9B3D-EEC68C70C8D5},{7AF01CE1-373F-49E9-9068-63E395317648},NACE,GREE,11/6/01,2001,19,GREE,5.18,74,90,74,0,2,0,0,2,,,,,TRUE,,,Full Moon,60
{215B0C08-52A2-43B9-A770-EFC6492843EB},{2C5FD09B-AD43-4B83-9B3D-EEC68C70C8D5},{D3C7A2E4-C94D-403E-8790-DD5360EA3941},NACE,GREE,11/6/01,2001,20,GREE,5.18,58,90,58,0,1,1,0,2,,,,,TRUE,,,Full Moon,60
{215B0C08-52A2-43B9-A770-EFC6492843EB},{2C5FD09B-AD43-4B83-9B3D-EEC68C70C8D5},{E27ADF83-B1FD-4C69-AE45-67DC8753B47F},NACE,GREE,11/6/01,2001,21,GREE,5.18,56,90,56,1,0,0,0,1,,,,,TRUE,,,Full Moon,60
{215B0C08-52A2-43B9-A770-EFC6492843EB},{2C5FD09B-AD43-4B83-9B3D-EEC68C70C8D5},{E8431C0F-FB99-4994-8544-81B46145711E},NACE,GREE,11/6/01,2001,22,GREE,5.18,4,90,4,0,1,0,0,1,,,,,TRUE,,,Full Moon,60
{215B0C08-52A2-43B9-A770-EFC6492843EB},{2C5FD09B-AD43-4B83-9B3D-EEC68C70C8D5},{EB38CADA-B6CE-4ADF-A338-17775F895B8A},NACE,GREE,11/6/01,2001,23,GREE,5.18,70,90,70,1,0,0,0,1,,,,,TRUE,,,Full Moon,60
{215B0C08-52A2-43B9-A770-EFC6492843EB},{2C5FD09B-AD43-4B83-9B3D-EEC68C70C8D5},{40142CB2-61E5-4F73-8A38-F489F060BF71},NACE,GREE,11/6/01,2001,24,GREE,5.18,44,90,44,0,2,1,0,3,,,,,TRUE,,,Full Moon,60
{215B0C08-52A2-43B9-A770-EFC6492843EB},{2C5FD09B-AD43-4B83-9B3D-EEC68C70C8D5},{FF89A4D1-E7D7-49AD-88AD-F23B1C6FF0D2},NACE,GREE,11/6/01,2001,25,GREE,5.18,70,90,70,1,0,0,0,1,,,,,TRUE,,,Full Moon,60
{215B0C08-52A2-43B9-A770-EFC6492843EB},{2C5FD09B-AD43-4B83-9B3D-EEC68C70C8D5},{F7057404-17CF-4732-852B-85A1962FF1D9},NACE,GREE,11/6/01,2001,26,GREE,5.18,122,90,122,0,2,0,0,2,,,,,TRUE,,,Full Moon,60
{F1FF5272-2D7C-45C4-85F6-5FFE35E54D01},{EAEEAA35-339C-47F4-BCF3-46BBE3F758C7},{91872513-B1C2-4A08-BF9B-4B7C965F0049},NACE,GREE,11/7/01,2001,27,GREE,5.18,2,90,2,0,1,1,0,2,,,,,TRUE,,,First Quarter,67
{F1FF5272-2D7C-45C4-85F6-5FFE35E54D01},{EAEEAA35-339C-47F4-BCF3-46BBE3F758C7},{FC4B2ECB-74B9-48BA-A366-10352D04AD05},NACE,GREE,11/7/01,2001,28,GREE,5.18,30,90,30,0,1,0,0,1,,,,,TRUE,,,First Quarter,67
{F1FF5272-2D7C-45C4-85F6-5FFE35E54D01},{EAEEAA35-339C-47F4-BCF3-46BBE3F758C7},{FA1B7E1D-1AB4-4242-93B1-D7B4E36AFAF6},NACE,GREE,11/7/01,2001,29,GREE,5.18,52,90,52,0,5,2,0,7,,,,,TRUE,,,First Quarter,67
{F1FF5272-2D7C-45C4-85F6-5FFE35E54D01},{EAEEAA35-339C-47F4-BCF3-46BBE3F758C7},{CBF98C64-D3FF-43A0-B57F-E613AB3C7426},NACE,GREE,11/7/01,2001,30,GREE,5.18,50,90,50,0,1,1,0,2,,,,,TRUE,,,First Quarter,67
{F1FF5272-2D7C-45C4-85F6-5FFE35E54D01},{EAEEAA35-339C-47F4-BCF3-46BBE3F758C7},{BB5E29C9-EE56-4E36-A2B1-F2DC0C8BB808},NACE,GREE,11/7/01,2001,31,GREE,5.18,26,90,26,0,1,0,0,1,,,,,TRUE,,,First Quarter,67
{F1FF5272-2D7C-45C4-85F6-5FFE35E54D01},{EAEEAA35-339C-47F4-BCF3-46BBE3F758C7},{A97B56BC-C957-4435-84D5-39988FBB79DF},NACE,GREE,11/7/01,2001,32,GREE,5.18,80,90,80,2,0,0,0,2,,,,,TRUE,,,First Quarter,67
{F1FF5272-2D7C-45C4-85F6-5FFE35E54D01},{EAEEAA35-339C-47F4-BCF3-46BBE3F758C7},{8BCC978A-D23A-4012-87D3-59906A74E26A},NACE,GREE,11/7/01,2001,33,GREE,5.18,40,90,40,0,0,0,1,1,,,,,TRUE,,,First Quarter,67
{F1FF5272-2D7C-45C4-85F6-5FFE35E54D01},{EAEEAA35-339C-47F4-BCF3-46BBE3F758C7},{890899D0-FCF4-4A10-AFFA-2E2B03311307},NACE,GREE,11/7/01,2001,34,GREE,5.18,22,90,22,1,0,0,0,1,,,,,TRUE,,,First Quarter,67
