Event_Group_ID,Event_ID,Data_ID,Park_Code,Route,Start_Date,Year,Group_Index,Route Section,Route_Length,DistanceToDeer,Angle,DistanceFromRoad,Bucks,Doe,Fawn,Unknown,Total_Group,Import_Event_ID,Mileage,Time,Date_Time_Entered,Verified,Wind Speed,Sky,Moon_Phase,Temperature,Event_Notes
{B4E8FE73-3D98-45A3-988B-5CABDB4289AC},{54E5B5C5-9729-4B1F-AF02-6991EAABBB7D},{BD6DBFA4-BB86-4B96-B97C-A6DA45857AA7},GWMP,GWMP,11/14/01,2001,1,GWMP,6,54,90,54,0,0,0,1,1,,,,,TRUE,,,New Moon,60,
{B4E8FE73-3D98-45A3-988B-5CABDB4289AC},{54E5B5C5-9729-4B1F-AF02-6991EAABBB7D},{F711E82D-0C0F-4746-978E-9980C565CDE5},GWMP,GWMP,11/14/01,2001,2,GWMP,6,8,90,8,0,1,2,0,3,,,,,TRUE,,,New Moon,60,
{B4E8FE73-3D98-45A3-988B-5CABDB4289AC},{54E5B5C5-9729-4B1F-AF02-6991EAABBB7D},{F6446FE3-7BF1-4360-AF68-C8DAF9B4EAF9},GWMP,GWMP,11/14/01,2001,3,GWMP,6,42,90,42,0,0,0,1,1,,,,,TRUE,,,New Moon,60,
{B4E8FE73-3D98-45A3-988B-5CABDB4289AC},{54E5B5C5-9729-4B1F-AF02-6991EAABBB7D},{E54E9E2D-1846-4CC7-96DF-34579F43FD0C},GWMP,GWMP,11/14/01,2001,4,GWMP,6,18,90,18,0,1,0,0,1,,,,,TRUE,,,New Moon,60,
{B4E8FE73-3D98-45A3-988B-5CABDB4289AC},{54E5B5C5-9729-4B1F-AF02-6991EAABBB7D},{BC3A4472-4831-4B29-A052-27BE949869DE},GWMP,GWMP,11/14/01,2001,5,GWMP,6,42,90,42,0,2,1,0,3,,,,,TRUE,,,New Moon,60,
{B4E8FE73-3D98-45A3-988B-5CABDB4289AC},{54E5B5C5-9729-4B1F-AF02-6991EAABBB7D},{BA8AA8F5-985A-4C68-A469-F332BF31BB93},GWMP,GWMP,11/14/01,2001,6,GWMP,6,34,90,34,0,1,0,0,1,,,,,TRUE,,,New Moon,60,
{B4E8FE73-3D98-45A3-988B-5CABDB4289AC},{54E5B5C5-9729-4B1F-AF02-6991EAABBB7D},{B2CDFF6D-B759-4651-92C1-07A5217664BF},GWMP,GWMP,11/14/01,2001,7,GWMP,6,56,90,56,0,2,1,0,3,,,,,TRUE,,,New Moon,60,
{B4E8FE73-3D98-45A3-988B-5CABDB4289AC},{54E5B5C5-9729-4B1F-AF02-6991EAABBB7D},{AE5D2FF7-605C-4F5E-A465-65AF704300F9},GWMP,GWMP,11/14/01,2001,8,GWMP,6,34,90,34,0,1,0,1,2,,,,,TRUE,,,New Moon,60,
{B4E8FE73-3D98-45A3-988B-5CABDB4289AC},{54E5B5C5-9729-4B1F-AF02-6991EAABBB7D},{A899CEE8-770A-424F-BA0A-BEC3F64AA324},GWMP,GWMP,11/14/01,2001,9,GWMP,6,52,90,52,0,0,0,1,1,,,,,TRUE,,,New Moon,60,
{B4E8FE73-3D98-45A3-988B-5CABDB4289AC},{54E5B5C5-9729-4B1F-AF02-6991EAABBB7D},{9953E1DE-0FA7-4627-9B67-D99CB3E85D4C},GWMP,GWMP,11/14/01,2001,10,GWMP,6,16,90,16,0,1,0,0,1,,,,,TRUE,,,New Moon,60,
